"","ctrl1a_data.Year","ctrl1a_data...2.","trt1a_data...2.","trt2a_data...2.","trt1b_data...2.","trt2b_data...2.","ctrl1a_ctrl1a","ctrl1a_trt1a","ctrl1a_trt2a","ctrl1a_trt1b","ctrl1a_trt2b"
"115",1964,2705.380801,2701.443482,2695.361748,2701.443482,2695.361748,0,-3.93731899999966,-10.019053,-3.93731899999966,-10.019053
"116",1965,2705.423442,2701.42959,2695.274135,2701.42959,2695.274135,0,-3.99385199999961,-10.1493069999997,-3.99385199999961,-10.1493069999997
"117",1966,2705.644608,2701.589976,2695.357828,2701.589976,2695.357828,0,-4.05463199999986,-10.2867799999999,-4.05463199999986,-10.2867799999999
"118",1967,2705.709446,2701.597468,2695.287226,2701.597468,2695.287226,0,-4.11197799999991,-10.4222199999999,-4.11197799999991,-10.4222199999999
"119",1968,2705.938239,2701.767659,2695.388247,2701.767659,2695.388247,0,-4.17057999999997,-10.5499920000002,-4.17057999999997,-10.5499920000002
"120",1969,2706.130265,2701.903317,2695.440654,2701.903317,2695.440654,0,-4.22694799999999,-10.6896109999998,-4.22694799999999,-10.6896109999998
"121",1970,2706.295985,2702.006096,2695.451639,2702.006096,2695.451639,0,-4.28988900000013,-10.8443460000003,-4.28988900000013,-10.8443460000003
"122",1971,2706.495516,2702.152275,2695.509843,2702.152275,2695.509843,0,-4.34324100000003,-10.9856730000001,-4.34324100000003,-10.9856730000001
"123",1972,2706.712869,2702.313486,2695.591801,2702.313486,2695.591801,0,-4.39938299999994,-11.1210679999999,-4.39938299999994,-11.1210679999999
"124",1973,2706.958105,2702.500697,2695.704959,2702.500697,2695.704959,0,-4.45740800000021,-11.253146,-4.45740800000021,-11.253146
"125",1974,2706.918027,2702.397821,2695.520379,2702.397821,2695.520379,0,-4.52020600000014,-11.3976480000001,-4.52020600000014,-11.3976480000001
"126",1975,2707.160358,2702.579185,2695.612362,2702.579185,2695.612362,0,-4.58117300000004,-11.5479960000002,-4.58117300000004,-11.5479960000002
"127",1976,2707.4672,2702.828826,2695.77523,2702.828826,2695.77523,0,-4.63837400000011,-11.6919699999999,-4.63837400000011,-11.6919699999999
"128",1977,2708.060786,2703.355193,2696.208169,2703.355193,2696.208169,0,-4.70559300000014,-11.852617,-4.70559300000014,-11.852617
"129",1978,2708.50768,2703.730516,2696.49957,2703.730516,2696.49957,0,-4.77716400000008,-12.0081100000002,-4.77716400000008,-12.0081100000002
"130",1979,2708.862518,2704.023021,2696.695861,2704.023021,2696.695861,0,-4.83949699999994,-12.1666569999998,-4.83949699999994,-12.1666569999998
"131",1980,2709.332671,2704.434614,2697.019955,2704.434614,2697.019955,0,-4.89805700000034,-12.3127159999999,-4.89805700000034,-12.3127159999999
"132",1981,2709.797717,2704.830579,2697.331254,2704.830579,2697.331254,0,-4.96713799999998,-12.4664629999997,-4.96713799999998,-12.4664629999997
"133",1982,2710.143439,2705.113443,2697.528076,2705.113443,2697.528076,0,-5.02999599999976,-12.6153629999999,-5.02999599999976,-12.6153629999999
"134",1983,2710.77566,2705.683765,2698.013795,2705.683765,2698.013795,0,-5.09189499999957,-12.7618649999999,-5.09189499999957,-12.7618649999999
"135",1984,2711.083244,2705.92214,2698.154847,2705.92214,2698.154847,0,-5.1611039999998,-12.9283970000001,-5.1611039999998,-12.9283970000001
"136",1985,2711.347347,2706.112277,2698.241893,2706.112277,2698.241893,0,-5.23506999999972,-13.105454,-5.23506999999972,-13.105454
"137",1986,2711.711273,2706.403915,2698.439479,2706.403915,2698.439479,0,-5.30735800000002,-13.2717939999998,-5.30735800000002,-13.2717939999998
"138",1987,2712.182714,2706.807046,2698.747958,2706.807046,2698.747958,0,-5.37566800000013,-13.4347560000001,-5.37566800000013,-13.4347560000001
"139",1988,2712.621931,2707.181409,2699.043849,2707.181409,2699.043849,0,-5.44052200000033,-13.578082,-5.44052200000033,-13.578082
"140",1989,2712.856124,2707.348324,2699.127462,2707.348324,2699.127462,0,-5.50779999999986,-13.728662,-5.50779999999986,-13.728662
"141",1990,2713.199351,2707.623873,2699.31324,2707.623873,2699.31324,0,-5.5754780000002,-13.8861110000003,-5.5754780000002,-13.8861110000003
"142",1991,2713.555871,2707.906897,2699.498266,2707.906897,2699.498266,0,-5.64897400000018,-14.057605,-5.64897400000018,-14.057605
"143",1992,2714.152023,2708.447484,2699.96493,2708.447484,2699.96493,0,-5.7045390000003,-14.187093,-5.7045390000003,-14.187093
"144",1993,2714.750386,2708.984025,2700.415333,2708.984025,2700.415333,0,-5.76636099999996,-14.3350530000002,-5.76636099999996,-14.3350530000002
"145",1994,2715.301017,2709.476741,2700.829035,2709.476741,2700.829035,0,-5.82427599999983,-14.4719819999996,-5.82427599999983,-14.4719819999996
"146",1995,2715.752783,2709.875305,2701.16465,2709.875305,2701.16465,0,-5.87747799999988,-14.5881329999997,-5.87747799999988,-14.5881329999997
"147",1996,2716.111939,2710.174807,2701.389858,2710.174807,2701.389858,0,-5.93713200000002,-14.7220809999999,-5.93713200000002,-14.7220809999999
"148",1997,2716.383931,2710.390185,2701.533131,2710.390185,2701.533131,0,-5.99374599999965,-14.8507999999997,-5.99374599999965,-14.8507999999997
"149",1998,2716.868418,2710.818191,2701.900518,2710.818191,2701.900518,0,-6.05022700000018,-14.9679000000001,-6.05022700000018,-14.9679000000001
"150",1999,2717.048431,2710.949196,2701.968505,2710.949196,2701.968505,0,-6.09923500000014,-15.0799260000003,-6.09923500000014,-15.0799260000003
"151",2000,2717.303059,2711.150537,2702.117345,2711.150537,2702.117345,0,-6.15252199999986,-15.1857139999997,-6.15252199999986,-15.1857139999997
"152",2001,2717.731768,2711.526915,2702.434253,2711.526915,2702.434253,0,-6.20485300000018,-15.2975150000002,-6.20485300000018,-15.2975150000002
"153",2002,2718.188291,2711.937347,2702.788453,2711.937347,2702.788453,0,-6.25094399999989,-15.3998379999998,-6.25094399999989,-15.3998379999998
"154",2003,2718.752464,2712.45799,2703.253748,2712.45799,2703.253748,0,-6.29447400000026,-15.4987160000001,-6.29447400000026,-15.4987160000001
"155",2004,2719.100647,2712.757535,2703.491897,2712.757535,2703.491897,0,-6.34311200000002,-15.6087500000003,-6.34311200000002,-15.6087500000003
"156",2005,2719.522915,2713.126356,2703.803314,2713.126356,2703.803314,0,-6.3965589999998,-15.7196010000002,-6.3965589999998,-15.7196010000002
"157",2006,2719.759743,2713.314411,2703.92808,2713.314411,2703.92808,0,-6.44533200000023,-15.8316629999999,-6.44533200000023,-15.8316629999999
"158",2007,2720.033429,2713.551029,2704.116913,2713.551029,2704.116913,0,-6.48239999999987,-15.9165160000002,-6.48239999999987,-15.9165160000002
"159",2008,2720.354731,2713.831488,2704.344597,2713.831488,2704.344597,0,-6.52324300000009,-16.0101340000001,-6.52324300000009,-16.0101340000001
"160",2009,2720.494728,2713.924174,2704.38939,2713.924174,2704.38939,0,-6.5705539999999,-16.1053380000003,-6.5705539999999,-16.1053380000003
"161",2010,2720.772136,2714.154795,2704.554257,2714.154795,2704.554257,0,-6.61734100000012,-16.2178790000003,-6.61734100000012,-16.2178790000003
"162",2011,2720.716112,2714.053989,2704.389676,2714.053989,2704.389676,0,-6.66212300000007,-16.3264360000003,-6.66212300000007,-16.3264360000003
"163",2012,2720.928633,2714.219923,2704.48731,2714.219923,2704.48731,0,-6.70870999999988,-16.441323,-6.70870999999988,-16.441323
"164",2013,2721.286826,2714.520975,2704.719117,2714.520975,2704.719117,0,-6.76585100000011,-16.5677089999999,-6.76585100000011,-16.5677089999999
"165",2014,2721.540326,2714.72723,2704.8613,2714.72723,2704.8613,0,-6.81309599999986,-16.6790259999998,-6.81309599999986,-16.6790259999998
"166",2015,2721.691216,2714.838636,2704.915165,2714.939271,2705.215149,0,-6.85258000000022,-16.7760510000003,-6.75194499999998,-16.4760670000001
"167",2016,2722.406316,2715.505637,2705.521905,2715.801655,2706.299335,0,-6.90067899999985,-16.884411,-6.60466099999985,-16.1069809999999
"168",2017,2723.148377,2716.205555,2706.16091,2716.710753,2707.432093,0,-6.94282199999998,-16.9874669999999,-6.43762400000014,-15.7162840000001
"169",2018,2723.652819,2716.668103,2706.573184,2717.372876,2708.302494,0,-6.98471599999993,-17.0796350000001,-6.279943,-15.3503249999999
"170",2019,2724.521891,2717.489233,2707.330966,2718.391934,2709.512523,0,-7.03265800000008,-17.1909249999999,-6.12995699999965,-15.009368
"171",2020,2724.933891,2717.853683,2707.651596,2718.955926,2710.277364,0,-7.08020800000031,-17.282295,-5.97796500000004,-14.6565270000001
"172",2021,2725.494248,2718.37435,2708.130456,2719.653968,2711.154317,0,-7.11989799999992,-17.3637920000001,-5.84027999999989,-14.339931
"173",2022,2726.127207,2718.963977,2708.664026,2720.412715,2712.075794,0,-7.16323000000011,-17.4631810000001,-5.71449200000006,-14.0514130000001
"174",2023,2726.739554,2719.533452,2709.191347,2721.143888,2712.962794,0,-7.2061020000001,-17.5482070000003,-5.59566600000016,-13.7767600000002
"175",2024,2727.223265,2719.977399,2709.616443,2721.741235,2713.721109,0,-7.24586600000021,-17.6068220000002,-5.48203000000012,-13.502156
"176",2025,2727.979138,2720.695571,2710.298927,2722.61536,2714.747133,0,-7.28356699999995,-17.6802110000003,-5.36377800000037,-13.2320050000003
"177",2026,2728.577421,2721.261184,2710.825892,2723.330307,2715.605604,0,-7.316237,-17.7515290000001,-5.24711399999978,-12.9718170000001
"178",2027,2728.972882,2721.616182,2711.143049,2723.831737,2716.25012,0,-7.35669999999982,-17.8298330000002,-5.14114500000005,-12.7227619999999
"179",2028,2729.811785,2722.420026,2711.915937,2724.770589,2717.3179,0,-7.39175900000009,-17.8958479999997,-5.04119599999967,-12.4938849999999
"180",2029,2730.757339,2723.330025,2712.78423,2725.814919,2718.486688,0,-7.42731399999957,-17.9731089999996,-4.94241999999986,-12.2706509999998
